Title,Company,Technologies,Job,Location,Salary
Data Engineer / Snowflake Developer,ITDS Polska Sp. z o.o.,"SQL, Python, Snowflake Data Cloud",data analyst,Warszawa,23 000–31 500 zł netto (+ VAT) / mies.
Senior Data Engineer,ITP IT PERFORMANCE sp. z o.o.,"Python, Snowflake, DBT, GitLab, SQL, Git, AWS, Airflow, AutoMateNow",data analyst,"Warszawa, Śródmieście",125–155 zł netto (+ VAT) / godz.
Senior Data Engineer (Azure / Databricks),GETINDATA POLAND sp. z o.o.,"Python, Scala, Java, Databricks, Kafka, Git, Microsoft Azure, Docker, Terraform, Azure DevOps",data analyst,"Warszawa, Mokotów",160–200 zł netto (+ VAT) / godz.
"Senior Fullstack (Angular, Node) / BI Platform Developer",BYTAMIC SOLUTIONS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Angular, TypeScript, Node.js",data analyst,"Poznań, Stare Miasto",18 000–21 300 zł netto (+ VAT) / mies.
Data Engineer with Quantexa Expertise,B2B.NET S.A.,"Quantexa, Spark, Scala, Unix Shell",data analyst,2 lokalizacje,
Senior Data Engineer,StoneX Financial LTD Sp. z o.o. Oddział w Polsce,"C#, Java",data analyst,"Kraków, Grzegórzki",
Senior Data Engineer,CRESTT sp. z o.o.,"SQL, T-SQL, Git, Microsoft Azure, Azure, Google Cloud Platform",data analyst,Warszawa,17 000–24 864 zł / mies. (zal. od umowy)
Data Engineer,Novaris Sp. z o.o.,"Python, Microsoft Azure, Azure Data Factory, Azure Databricks, Spark, Spark SQL, Azure DevOps",data analyst,Warszawa,21 000–28 000 zł netto (+ VAT) / mies.
Data Scientist,SQUARE ONE RESOURCES sp. z o.o.,"Python, SQL, PySpark, Azure Cloud, Databricks",data analyst,"Warszawa, Mokotów",100–130 zł netto (+ VAT) / godz.
Senior Data Scientist,KUBO,"Python, LLM, PyTorch / TensorFlow / Keras",data analyst,Gdańsk,100–130 zł netto (+ VAT) / godz.
Data Scientist,UPVANTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Python, SQL",data analyst,Wrocław,156 zł / godz. (zal. od umowy)
Analityk Biznesowo-Systemowy,Prime Engineering Poland,"UML, BPMN, Enterprise Architect",data analyst,Poznań,
Data Analyst - Data Architect,CadEx Digital s.r.o.,"SQL, Sybase, Sybase Power Designer, 3NF",data analyst,"Bratislava, Słowacja",15 100–19 500 zł brutto / mies.
Senior Data Scientist,Adform Sp. z o.o.,"Python, SQL, git, Docker, C#, Java, C, C++, Scala",data analyst,"Warszawa, Śródmieście",22 400–33 600 zł netto (+ VAT) / mies.
Data Engineer,UPVANTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,data analyst,Wrocław,
Analityk biznesowy - Programista BPML,QUERCUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"BPML, IBM BPM, Pega, Camunda, Java, Python",data analyst,"Łódź, Śródmieście",
Analityk Biznesowy,Autopay,"SQL, Jira, Figma",data analyst,"Sopot, Dolny Sopot",
System - Business Analyst,Scalo Sp. z o.o.,"SQL, Kafka",data analyst,Katowice,140 zł netto (+ VAT) / godz.
BI Manager / Tech Lead - Zespół Data Intelligence Solution,KPMG,"Microsoft Power BI, Microsoft Azure, MS Fabric, SQL, Synapse, Databricks, Data Lake, Data Factory, Logic Apps, Azure DevOps",data analyst,7 lokalizacji,
Business Analyst,CHABRE IT SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,data analyst,"Warszawa, Śródmieście",150 zł netto (+ VAT) / godz.
Data Engineer,PUMANTA sp. z o.o.,"Informatica, PowerCenter, SQL, PL/SQL, Oracle",data analyst,"Warszawa, Ochota",
IT Business Analyst,WONDER MILES Sp. z o.o.,"UML, BPMN",data analyst,2 lokalizacje,
Business Analyst,NEONTRI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,"BPMN, UML",data analyst,Warszawa,110–140 zł netto (+ VAT) / godz.
Advanced Data Scientist,Analyx Sp. z o.o. sp.k.,"R, Microsoft Excel",data analyst,"Poznań, Stare Miasto",
Business Analyst (work in the US time zone),Micro Solutions Sp. z o.o.,"Jira, Office 365 suite",data analyst,"Wrocław, Fabryczna",
Analityk biznesowo-systemowy,ITHOUSE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"BPMN, UML, Enterprise Architect, Miro, Jira",data analyst,"Warszawa, Śródmieście",
Data Engineer,SAMBA TV POLAND sp. z o.o.,"Python, Apache Spark, Airflow, Pyspark, Databricks, AWS",data analyst,Warszawa,
Data Quality Analyst,ODYSSEY LOGISTICS SP Z O O,SQL,data analyst,"Gdańsk, Oliwa",10 000–18 500 zł / mies. (zal. od umowy)
Data Analyst,Infor (Polska) Sp. z o.o.,"SQL, MS Excel",data analyst,"Wrocław, Stare Miasto",
Analityk Biznesowo - Systemowy,LINCOR Software sp. z o.o. sp. k.,"Microsoft Excel, SQL",data analyst,"Warszawa, Ursynów",16 000–20 000 zł / mies. (zal. od umowy)
Analityk Biznesowo - Systemowy,CRESTT sp. z o.o.,"UML, BPMN, Enterprise Architect, Jira, Rest, SoapUI, XML, Json",data analyst,Warszawa,105–120 zł netto (+ VAT) / godz.
System - Business Analyst,Scalo Sp. z o.o.,"Jira, Confluence, SQL",data analyst,Warszawa,150 zł netto (+ VAT) / godz.
Power BI Developer,Kingfisher,Microsoft Power BI,data analyst,"Kraków, Podgórze",
IT Business Analyst,Droids On Roids SA,"Jira, Confluence",data analyst,"Wrocław, Stare Miasto",7 500–14 500 zł / mies. (zal. od umowy)
Data Engineer,PwC,"Python, SQL",data analyst,5 lokalizacji,
Data Engineer / Snowflake Developer,ITDS Polska Sp. z o.o.,"SQL, Python, Snowflake Data Cloud",data engineer,Warszawa,23 000–31 500 zł netto (+ VAT) / mies.
